xlocal  clocal  xnonlocal  cnonlocal 
-1.1986 -0.0394 -0.1857 0.0315
-1.1987 -0.0394 -0.1856 0.0315
-1.1990 -0.0394 -0.1855 0.0315
-0.2839 -0.0229 -0.0447 0.0158
-0.2828 -0.0228 -0.0447 0.0158
-0.2931 -0.0232 -0.0453 0.0159
-0.2844 -0.0229 -0.0448 0.0158
-4.5881 -0.0573 -0.6424 0.0511
-1.1933 -0.0393 -0.1863 0.0315
-1.1797 -0.0391 -0.1808 0.0313
-1.1936 -0.0393 -0.1883 0.0315
-1.1923 -0.0393 -0.1860 0.0315
-0.2893 -0.0231 -0.0443 0.0157
-0.2893 -0.0231 -0.0443 0.0157
-0.2885 -0.0230 -0.0443 0.0157
-4.8858 -0.0581 -0.6829 0.0519
-1.3045 -0.0404 -0.1983 0.0324
-1.2942 -0.0403 -0.2008 0.0324
-1.2951 -0.0403 -0.2004 0.0324
-1.2931 -0.0403 -0.2014 0.0324
-0.3146 -0.0239 -0.0491 0.0167
-0.3146 -0.0239 -0.0491 0.0167
-0.3146 -0.0239 -0.0491 0.0167
-0.3146 -0.0239 -0.0491 0.0167
-4.8870 -0.0581 -0.6830 0.0519
-1.3039 -0.0404 -0.1984 0.0324
-1.2937 -0.0403 -0.2010 0.0324
-1.2933 -0.0403 -0.2013 0.0324
-1.2959 -0.0403 -0.2001 0.0324
-0.3146 -0.0239 -0.0491 0.0167
-0.3146 -0.0239 -0.0491 0.0167
-0.3146 -0.0239 -0.0491 0.0167
-0.3146 -0.0239 -0.0491 0.0167
