  lx     lc     nlx     nlc     Ec_m 
-1.0085 -0.0372 -0.1568 0.0295 -1.1388
-0.2266 -0.0207 -0.0350 0.0137 -0.2556
-0.2266 -0.0207 -0.0350 0.0137 -0.2556
-0.2266 -0.0207 -0.0350 0.0137 -0.2556
-0.2266 -0.0207 -0.0350 0.0137 -0.2556
-4.0402 -0.0555 -0.5656 0.0493 -4.7013
-0.9895 -0.0369 -0.1546 0.0293 -1.1180
-0.9895 -0.0369 -0.1546 0.0293 -1.1180
-0.9892 -0.0369 -0.1546 0.0293 -1.1178
-0.9895 -0.0369 -0.1546 0.0293 -1.1180
-0.2059 -0.0201 -0.0337 0.0128 -0.2344
-4.3237 -0.0565 -0.6045 0.0502 -5.0306
-1.1034 -0.0383 -0.1713 0.0305 -1.2457
-1.1034 -0.0383 -0.1713 0.0305 -1.2458
-1.1034 -0.0383 -0.1713 0.0305 -1.2458
-1.1034 -0.0383 -0.1713 0.0305 -1.2458
-0.2583 -0.0220 -0.0402 0.0148 -0.2913
-0.2573 -0.0219 -0.0401 0.0148 -0.2899
-0.2550 -0.0218 -0.0400 0.0148 -0.2870
-0.2565 -0.0219 -0.0401 0.0148 -0.2890
-4.3236 -0.0565 -0.6045 0.0502 -5.0307
-1.0813 -0.0380 -0.1688 0.0304 -1.2214
-1.0924 -0.0382 -0.1700 0.0304 -1.2338
-1.0988 -0.0382 -0.1707 0.0305 -1.2410
-1.0810 -0.0380 -0.1688 0.0304 -1.2211
-0.2618 -0.0221 -0.0393 0.0147 -0.2989
-0.2623 -0.0222 -0.0392 0.0147 -0.2997
-4.6083 -0.0574 -0.6439 0.0511 -5.3615
-1.1980 -0.0394 -0.1858 0.0315 -1.3523
-1.1977 -0.0394 -0.1857 0.0315 -1.3520
-1.1977 -0.0394 -0.1857 0.0315 -1.3521
-1.1977 -0.0394 -0.1857 0.0315 -1.3522
-0.2838 -0.0229 -0.0449 0.0158 -0.3192
-0.2828 -0.0228 -0.0448 0.0158 -0.3179
-0.2931 -0.0232 -0.0454 0.0159 -0.3310
-0.2843 -0.0229 -0.0449 0.0158 -0.3198
-4.6082 -0.0574 -0.6439 0.0511 -5.3615
-1.1944 -0.0393 -0.1853 0.0315 -1.3486
-1.1718 -0.0391 -0.1828 0.0313 -1.3235
-1.1965 -0.0393 -0.1855 0.0315 -1.3510
-1.1933 -0.0393 -0.1851 0.0315 -1.3474
-0.2893 -0.0231 -0.0444 0.0157 -0.3284
-0.2892 -0.0231 -0.0444 0.0157 -0.3283
-0.2885 -0.0230 -0.0445 0.0157 -0.3271
-4.8934 -0.0582 -0.6833 0.0520 -5.6930
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
