  lx     lc     nlx     nlc     Ec_m 
-0.1810 -0.0189 -0.0293 0.0119 -0.2063
-4.0405 -0.0555 -0.5656 0.0493 -4.7014
-1.0084 -0.0372 -0.1568 0.0295 -1.1388
-1.0084 -0.0372 -0.1568 0.0295 -1.1388
-1.0084 -0.0372 -0.1569 0.0295 -1.1387
-1.0084 -0.0372 -0.1568 0.0295 -1.1388
-0.2266 -0.0207 -0.0350 0.0137 -0.2556
-0.2266 -0.0207 -0.0350 0.0137 -0.2555
-0.2266 -0.0207 -0.0350 0.0137 -0.2555
-0.2266 -0.0207 -0.0350 0.0137 -0.2556
-4.0402 -0.0555 -0.5656 0.0493 -4.7013
-0.9895 -0.0369 -0.1546 0.0293 -1.1181
-0.9895 -0.0369 -0.1546 0.0293 -1.1181
-0.9891 -0.0369 -0.1547 0.0293 -1.1176
-0.9895 -0.0369 -0.1546 0.0293 -1.1181
-0.2059 -0.0201 -0.0337 0.0128 -0.2344
-4.3250 -0.0565 -0.6047 0.0502 -5.0312
-1.1044 -0.0383 -0.1713 0.0305 -1.2468
-1.1044 -0.0383 -0.1713 0.0305 -1.2468
-1.1044 -0.0383 -0.1713 0.0305 -1.2468
-1.1044 -0.0383 -0.1713 0.0305 -1.2468
-0.2584 -0.0220 -0.0400 0.0148 -0.2914
-0.2573 -0.0219 -0.0400 0.0148 -0.2901
-0.2551 -0.0218 -0.0398 0.0148 -0.2872
-0.2566 -0.0219 -0.0399 0.0148 -0.2891
-4.3248 -0.0565 -0.6046 0.0502 -5.0313
-1.0818 -0.0380 -0.1687 0.0304 -1.2222
-1.0930 -0.0382 -0.1700 0.0304 -1.2344
-1.0997 -0.0383 -0.1708 0.0305 -1.2417
-1.0815 -0.0380 -0.1686 0.0304 -1.2220
-0.2618 -0.0221 -0.0391 0.0147 -0.2991
-0.2624 -0.0222 -0.0390 0.0147 -0.2999
-4.6090 -0.0574 -0.6439 0.0511 -5.3616
-1.1980 -0.0394 -0.1861 0.0315 -1.3518
-1.1986 -0.0394 -0.1857 0.0315 -1.3530
-1.1987 -0.0394 -0.1856 0.0315 -1.3533
-1.1990 -0.0394 -0.1855 0.0315 -1.3538
-0.2839 -0.0229 -0.0447 0.0158 -0.3193
-0.2828 -0.0228 -0.0447 0.0158 -0.3180
-0.2931 -0.0232 -0.0453 0.0159 -0.3311
-0.2844 -0.0229 -0.0448 0.0158 -0.3200
-4.5881 -0.0573 -0.6424 0.0511 -5.3355
-1.1933 -0.0393 -0.1863 0.0315 -1.3459
-1.1797 -0.0391 -0.1808 0.0313 -1.3356
-1.1936 -0.0393 -0.1883 0.0315 -1.3439
-1.1923 -0.0393 -0.1860 0.0315 -1.3451
-0.2893 -0.0231 -0.0443 0.0157 -0.3285
-0.2893 -0.0231 -0.0443 0.0157 -0.3284
-0.2885 -0.0230 -0.0443 0.0157 -0.3273
-4.8858 -0.0581 -0.6829 0.0519 -5.6749
-1.3045 -0.0404 -0.1983 0.0324 -1.4748
-1.2942 -0.0403 -0.2008 0.0324 -1.4593
-1.2951 -0.0403 -0.2004 0.0324 -1.4608
-1.2931 -0.0403 -0.2014 0.0324 -1.4570
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-4.8870 -0.0581 -0.6830 0.0519 -5.6765
-1.3039 -0.0404 -0.1984 0.0324 -1.4740
-1.2937 -0.0403 -0.2010 0.0324 -1.4583
-1.2933 -0.0403 -0.2013 0.0324 -1.4575
-1.2959 -0.0403 -0.2001 0.0324 -1.4621
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
-0.3146 -0.0239 -0.0491 0.0167 -0.3545
