"","lx","lc","nlx","nlc","Ec_m"
"64",-0.6177,-0.0311,-0.0978,0.0241,-0.6969
"65",-0.6177,-0.0311,-0.0978,0.0241,-0.6968
"66",-0.6177,-0.0311,-0.0978,0.0241,-0.6968
"67",-3.1818,-0.0522,-0.4473,0.046,-3.7018
"68",-0.7132,-0.0328,-0.112,0.0256,-0.8055
"69",-0.7137,-0.0328,-0.1118,0.0256,-0.8065
"70",-0.7143,-0.0328,-0.1116,0.0256,-0.8074
"71",-0.7111,-0.0328,-0.1139,0.0257,-0.8009
"72",-0.1231,-0.0156,-0.0187,0.0091,-0.1414
"73",-3.1829,-0.0522,-0.4473,0.046,-3.7032
"74",-0.7136,-0.0328,-0.1118,0.0256,-0.8062
"75",-0.7111,-0.0328,-0.1137,0.0257,-0.8011
"76",-0.7133,-0.0328,-0.112,0.0256,-0.8056
"77",-0.7143,-0.0328,-0.1116,0.0256,-0.8074
"78",-0.1231,-0.0156,-0.0187,0.0091,-0.1414
"79",-3.4719,-0.0534,-0.487,0.0472,-4.0396
"80",-0.8067,-0.0343,-0.1265,0.027,-0.9109
"81",-0.8139,-0.0345,-0.1272,0.027,-0.9191
"82",-0.8086,-0.0344,-0.1267,0.027,-0.9131
"83",-0.8104,-0.0344,-0.1268,0.027,-0.9153
"84",-0.1674,-0.018,-0.024,0.011,-0.1921
"85",-0.1675,-0.018,-0.024,0.011,-0.1923
"86",-3.4719,-0.0534,-0.487,0.0472,-4.0397
"87",-0.8061,-0.0343,-0.1263,0.027,-0.9106
"88",-0.8061,-0.0343,-0.1265,0.027,-0.9105
"89",-0.8059,-0.0343,-0.1263,0.027,-0.9103
"90",-0.8058,-0.0343,-0.1263,0.027,-0.9103
"91",-0.1546,-0.0175,-0.0244,0.0107,-0.1766
"92",-3.7551,-0.0545,-0.5261,0.0482,-4.3694
"93",-0.9141,-0.0359,-0.1423,0.0283,-1.0323
"94",-0.9102,-0.0359,-0.1419,0.0283,-1.028
"95",-0.8984,-0.0357,-0.1408,0.0282,-1.0146
"96",-0.9111,-0.0359,-0.1419,0.0283,-1.029
"97",-0.1994,-0.0195,-0.0296,0.0124,-0.2271
"98",-0.1977,-0.0194,-0.0295,0.0124,-0.2248
"99",-0.1977,-0.0194,-0.0295,0.0124,-0.2248
"100",-3.7555,-0.0545,-0.5261,0.0482,-4.3697
"101",-0.8982,-0.0357,-0.1405,0.0282,-1.0149
"102",-0.8985,-0.0357,-0.1405,0.0282,-1.0152
"103",-0.8983,-0.0357,-0.1405,0.0282,-1.0151
"104",-0.8975,-0.0357,-0.1404,0.0282,-1.0141
"105",-0.181,-0.0189,-0.0293,0.0119,-0.2063
"106",-4.0405,-0.0555,-0.5656,0.0493,-4.7014
"107",-1.0084,-0.0372,-0.1568,0.0295,-1.1388
"108",-1.0084,-0.0372,-0.1568,0.0295,-1.1388
"109",-1.0084,-0.0372,-0.1569,0.0295,-1.1387
"110",-1.0084,-0.0372,-0.1568,0.0295,-1.1388
"111",-0.2266,-0.0207,-0.035,0.0137,-0.2556
"112",-0.2266,-0.0207,-0.035,0.0137,-0.2555
"113",-0.2266,-0.0207,-0.035,0.0137,-0.2555
"114",-0.2266,-0.0207,-0.035,0.0137,-0.2556
"115",-4.0402,-0.0555,-0.5656,0.0493,-4.7013
"116",-0.9895,-0.0369,-0.1546,0.0293,-1.1181
"117",-0.9895,-0.0369,-0.1546,0.0293,-1.1181
"118",-0.9891,-0.0369,-0.1547,0.0293,-1.1176
"119",-0.9895,-0.0369,-0.1546,0.0293,-1.1181
"120",-0.2059,-0.0201,-0.0337,0.0128,-0.2344
"121",-4.325,-0.0565,-0.6047,0.0502,-5.0312
"122",-1.1044,-0.0383,-0.1713,0.0305,-1.2468
"123",-1.1044,-0.0383,-0.1713,0.0305,-1.2468
"124",-1.1044,-0.0383,-0.1713,0.0305,-1.2468
"125",-1.1044,-0.0383,-0.1713,0.0305,-1.2468
"126",-0.2584,-0.022,-0.04,0.0148,-0.2914
"127",-0.2573,-0.0219,-0.04,0.0148,-0.2901
"128",-0.2551,-0.0218,-0.0398,0.0148,-0.2872
"129",-0.2566,-0.0219,-0.0399,0.0148,-0.2891
"130",-4.3248,-0.0565,-0.6046,0.0502,-5.0313
"131",-1.0818,-0.038,-0.1687,0.0304,-1.2222
"132",-1.093,-0.0382,-0.17,0.0304,-1.2344
"133",-1.0997,-0.0383,-0.1708,0.0305,-1.2417
"134",-1.0815,-0.038,-0.1686,0.0304,-1.222
"135",-0.2618,-0.0221,-0.0391,0.0147,-0.2991
"136",-0.2624,-0.0222,-0.039,0.0147,-0.2999
"137",-4.609,-0.0574,-0.6439,0.0511,-5.3616
"138",-1.198,-0.0394,-0.1861,0.0315,-1.3518
"139",-1.1986,-0.0394,-0.1857,0.0315,-1.353
"140",-1.1987,-0.0394,-0.1856,0.0315,-1.3533
"141",-1.199,-0.0394,-0.1855,0.0315,-1.3538
"142",-0.2839,-0.0229,-0.0447,0.0158,-0.3193
"143",-0.2828,-0.0228,-0.0447,0.0158,-0.318
"144",-0.2931,-0.0232,-0.0453,0.0159,-0.3311
"145",-0.2844,-0.0229,-0.0448,0.0158,-0.32
"146",-4.5881,-0.0573,-0.6424,0.0511,-5.3355
"147",-1.1933,-0.0393,-0.1863,0.0315,-1.3459
"148",-1.1797,-0.0391,-0.1808,0.0313,-1.3356
"149",-1.1936,-0.0393,-0.1883,0.0315,-1.3439
"150",-1.1923,-0.0393,-0.186,0.0315,-1.3451
"151",-0.2893,-0.0231,-0.0443,0.0157,-0.3285
"152",-0.2893,-0.0231,-0.0443,0.0157,-0.3284
"153",-0.2885,-0.023,-0.0443,0.0157,-0.3273
"154",-4.8858,-0.0581,-0.6829,0.0519,-5.6749
"155",-1.3045,-0.0404,-0.1983,0.0324,-1.4748
"156",-1.2942,-0.0403,-0.2008,0.0324,-1.4593
"157",-1.2951,-0.0403,-0.2004,0.0324,-1.4608
"158",-1.2931,-0.0403,-0.2014,0.0324,-1.457
"159",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"160",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"161",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"162",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"163",-4.887,-0.0581,-0.683,0.0519,-5.6765
"164",-1.3039,-0.0404,-0.1984,0.0324,-1.474
"165",-1.2937,-0.0403,-0.201,0.0324,-1.4583
"166",-1.2933,-0.0403,-0.2013,0.0324,-1.4575
"167",-1.2959,-0.0403,-0.2001,0.0324,-1.4621
"168",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"169",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"170",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
"171",-0.3146,-0.0239,-0.0491,0.0167,-0.3545
